FirstStructure__c;CreatedYear__c;CreatedDate__c;Type;Case_Theme_Area__c;Case_Topic_Service__c;Origin;Case_Alert_Police_Warning__c;Municipality_Category__c
MUNICIPIO IV;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;4
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;INSEDIAMENTO ABUSIVO;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;MOBILITA E TRASPORTI;VIABILITA STRADALE;Call Center;false;10
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;ALTRI SERVIZI AMBIENTE;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;RAMI PERICOLANTI E POTATURE ALBERI;Call Center;false;9
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;RAMI PERICOLANTI E POTATURE ALBERI;Call Center;false;4
MUNICIPIO III;2026;01/03/2026;Segnalazione;AMBIENTE;RAMI PERICOLANTI E POTATURE ALBERI;Email To Case;false;3
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;2
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;1
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;10
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;13
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;1
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;1
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;13
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;13
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;3
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;3
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;14
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;2
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Call Center;false;14
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO XV;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;15
MUNICIPIO XIV;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;CDC;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Reclamo;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
CHIAMAROMA 060606;2026;01/03/2026;Reclamo;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;15
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;14
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;15
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;SPECIE INFESTANTI E SINANTROPE;Call Center;false;11
DIPARTIMENTO TUTELA AMBIENTALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;CDC;false;
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;12
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;2
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;ANAGRAFE E SERVIZI CIVICI;SERVIZI FUNEBRI E CIMITERIALI;Call Center;false;
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;7
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;2
POLIZIA LOCALE (3° Gruppo NOMENTANO);2026;01/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;Email To Case;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;1
CHIAMAROMA 060606;2026;01/03/2026;Reclamo;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;1
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
MUNICIPIO X;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;10
MUNICIPIO X;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;10
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;8
DIPARTIMENTO TUTELA AMBIENTALE;2026;01/03/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;CDC;false;2
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;8
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;1
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;8
GABINETTO DEL SINDACO;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;2
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;11
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;15
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;2
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;2
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;ANAGRAFE E SERVIZI CIVICI;SERVIZI FUNEBRI E CIMITERIALI;Call Center;false;
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;2
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;9
RAGIONERIA GENERALE;2026;01/03/2026;Reclamo;TRIBUTI E CONTRAVVENZIONI;SERVIZIO CONTRAVVENZIONI;CDC;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;3
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;8
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;MOBILITA E TRASPORTI;VIABILITA STRADALE;Call Center;false;4
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;3
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SERVIZI MUNICIPALI;ALTRI SERVIZI MUNICIPALI;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;1
GABINETTO DEL SINDACO;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;ALTRI SERVIZI OPERE E MANUTENZIONE;Email To Case;false;
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SERVIZI MUNICIPALI;SERVIZIO TECNICO;Call Center;false;14
MUNICIPIO X;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;10
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;ANAGRAFE E SERVIZI CIVICI;SERVIZI FUNEBRI E CIMITERIALI;Call Center;false;
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;4
GABINETTO DEL SINDACO;2026;01/03/2026;Segnalazione;AMBIENTE;AREE VERDI E PARCHI PUBBLICI;Email To Case;false;1
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;CULTURA;SPETTACOLI E MUSICA DAL VIVO;CDC;false;7
DIPARTIMENTO TUTELA AMBIENTALE;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;1
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;MOBILITA E TRASPORTI;ALTRI SERVIZI MOBILITA E TRASPORTI;Call Center;false;
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;5
GABINETTO DEL SINDACO;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA AMMINISTRATIVA;Email To Case;false;1
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;8
CHIAMAROMA 060606;2026;01/03/2026;Reclamo;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;1
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;14
GABINETTO DEL SINDACO;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Email To Case;false;5
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;2
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;2
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;2
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;2
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;2
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;13
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
POLIZIA LOCALE (COMANDO GENERALE);2026;01/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;Email To Case;false;
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;12
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;12
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;6
CHIAMAROMA 060606;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;7
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;COMMERCIO E IMPRESA;ANTIABUSIVISMO COMMERCIALE;CDC;false;5
DIPARTIMENTO SCUOLA, LAVORO E FORMAZIONE PROFESSIONALE;2026;01/03/2026;Segnalazione;SCUOLA;PORTALE SERVIZI SCOLASTICI;CDC;false;
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;AMBIENTE;ANIMALI;Call Center;false;3
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;PRONTO INTERVENTO E PERICOLO IMMEDIATO;Call Center;false;8
CHIAMAROMA 060606;2026;01/03/2026;Reclamo;MOBILITA E TRASPORTI;MEZZI DI TRASPORTO, STRUTTURE E IMPIANTI;Call Center;false;
MUNICIPIO X;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;10
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;15
CHIAMAROMA 060606;2026;01/03/2026;Reclamo;MOBILITA E TRASPORTI;COMPORTAMENTO DEL PERSONALE;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;15
AMA;2026;01/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;5
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;IMPIANTI TECNOLOGICI;Call Center;false;1
MUNICIPIO VI;2026;01/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;CDC;false;6
CHIAMAROMA 060606;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;7
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;CULTURA;SPETTACOLI E MUSICA DAL VIVO;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;12
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;INSEDIAMENTO ABUSIVO;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/03/2026;Segnalazione;SICUREZZA URBANA;INSEDIAMENTO ABUSIVO;CDC;false;5
POLIZIA LOCALE (COMANDO GENERALE);2026;01/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;Email To Case;false;
;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;TVA;false;
;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;TVA;false;
;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;TVA;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Call Center;false;4
CHIAMAROMA 060606;2026;02/03/2026;Reclamo;MOBILITA E TRASPORTI;MEZZI DI TRASPORTO, STRUTTURE E IMPIANTI;Call Center;false;
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
AMA;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;CDC;false;5
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;9
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
MUNICIPIO III;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;Email To Case;false;3
MUNICIPIO III;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;3
MUNICIPIO IV;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Email To Case;false;3
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;9
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE;Call Center;false;15
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;7
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;SERVIZI MUNICIPALI;SERVIZIO TECNICO;Call Center;false;8
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;2
POLIZIA LOCALE (COMANDO GENERALE);2026;02/03/2026;Segnalazione;SICUREZZA URBANA;ALTRI INTERVENTI DI POLIZIA LOCALE;Email To Case;false;
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;2
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;ANAGRAFE E SERVIZI CIVICI;SERVIZI FUNEBRI E CIMITERIALI;Call Center;false;
POLIZIA LOCALE DI ROMA CAPITALE;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;10
POLIZIA LOCALE DI ROMA CAPITALE;2026;02/03/2026;Segnalazione;SICUREZZA URBANA;POLIZIA STRADALE;CDC;false;5
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;ANAGRAFE E SERVIZI CIVICI;SERVIZI FUNEBRI E CIMITERIALI;Call Center;false;
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;6
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;14
MUNICIPIO IX;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Email To Case;false;9
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;AMBIENTE;SPECIE INFESTANTI E SINANTROPE;Call Center;false;14
CHIAMAROMA 060606;2026;02/03/2026;AMA LineaVerde;GESTIONE RIFIUTI E PULIZIA URBANA;LINEA VERDE – SEGNALAZIONE RIFIUTI E PULIZIA;Call Center;false;8
CHIAMAROMA 060606;2026;02/03/2026;Segnalazione;OPERE E MANUTENZIONE DELLA CITTA;MANUTENZIONE STRADALE;Call Center;false;1
